---
Mammal:            human
Fs:                200
Integration_level: electrocardiogram

Channels:

    - type:   electrography
0.05 0.01 0.00
0.04 0.00 -0.01
0.05 0.02 0.01
0.05 0.04 0.02
0.05 0.02 0.00
0.05 0.00 -0.02
0.06 -0.01 -0.0
0.06 -0.03 -0.0
0.05 -0.00 -0.0
0.05 0.02 -0.01
0.07 0.00 -0.08
0.09 0.05 -0.09
0.10 0.08 -0.07
0.10 0.05 -0.11
0.10 0.05 -0.07
0.07 0.01 -0.07
0.06 0.01 -0.06
0.05 0.01 -0.03
0.05 0.03 0.01
0.05 0.04 0.03
0.05 0.02 0.00
0.05 0.02 0.00
0.04 0.03 0.01
0.03 -0.01 -0.0
0.03 0.01 0.00
0.04 0.03 0.02
0.03 0.04 0.00
0.03 0.00 -0.01
0.02 0.01 0.00
0.02 -0.03 -0.0
0.02 -0.00 -0.0
0.03 0.03 0.01
0.02 0.01 0.00
0.02 0.00 -0.01
0.02 0.07 0.05
0.03 0.17 0.16
0.04 0.24 0.23
-0.04 0.30 0.31
-0.26 0.16 0.24
-0.46 0.02 0.15
-0.54 -0.14 0.0
-0.69 -0.44 -0.
-0.79 -0.62 -0.
-0.81 -0.67 -0.
-0.78 -0.69 -0.
-0.69 -0.67 -0.
-0.53 -0.55 -0.
-0.37 -0.43 -0.
-0.30 -0.38 -0.
-0.18 -0.25 -0.
-0.10 -0.16 -0.
-0.03 -0.08 -0.
0.00 -0.05 -0.0
0.02 -0.06 -0.0
0.04 -0.03 -0.0
0.05 0.04 0.02
0.06 0.04 0.01
0.07 0.04 0.01
0.07 0.03 -0.01
0.07 0.00 -0.03
0.07 -0.01 -0.0
0.07 0.05 0.01
0.08 0.05 0.01
0.09 0.06 0.01
0.09 0.06 0.00
0.09 0.05 0.00
0.08 0.07 0.03
0.08 0.03 -0.01
0.08 0.02 -0.02
0.11 0.03 -0.02
0.13 0.12 0.05
0.13 0.12 0.05
0.13 0.10 0.03
0.13 0.06 -0.00
0.13 0.05 -0.02
0.14 0.11 0.04
0.15 0.13 0.05
0.15 0.12 0.05
0.16 0.13 0.05
0.17 0.12 0.04
0.17 0.12 0.04
0.18 0.13 0.05
0.18 0.12 0.04
0.20 0.17 0.08
0.21 0.16 0.06
0.21 0.12 0.02
0.23 0.19 0.09
0.25 0.20 0.09
0.26 0.20 0.09
0.27 0.22 0.11
0.29 0.25 0.13
0.31 0.26 0.14
0.32 0.26 0.13
0.32 0.24 0.12
0.34 0.28 0.15
0.35 0.31 0.18
0.36 0.32 0.19
0.37 0.33 0.19
0.36 0.30 0.18
0.38 0.33 0.19
0.37 0.29 0.15
0.34 0.25 0.13
0.32 0.30 0.18
0.28 0.23 0.13
0.26 0.21 0.11
0.24 0.17 0.07
0.22 0.14 0.05
0.19 0.13 0.04
0.18 0.14 0.07
0.16 0.10 0.03
0.14 0.11 0.05
0.13 0.10 0.04
0.13 0.08 0.03
0.12 0.05 0.00
0.12 0.04 -0.02
0.12 0.05 0.01
0.12 0.06 0.01
0.11 0.06 0.01
0.10 0.04 0.00
0.11 0.00 -0.04
0.11 0.03 -0.02
0.11 0.06 0.01
0.12 0.07 0.02
0.12 0.05 0.00
0.12 0.04 -0.00
0.12 0.05 0.00
0.12 0.05 -0.01
0.11 0.03 -0.01
0.11 0.02 -0.02
0.12 0.02 -0.03
0.11 0.03 -0.02
0.11 0.03 -0.02
0.12 0.02 -0.03
0.11 0.04 -0.01
0.13 0.07 0.01
0.13 0.05 -0.02
0.12 0.04 -0.03
0.11 0.02 -0.04
0.11 0.01 -0.05
0.11 0.00 -0.05
0.11 0.04 -0.00
0.11 0.04 -0.01
0.10 0.02 -0.04
0.10 0.02 -0.04
0.10 0.00 -0.05
0.09 -0.02 -0.0
0.09 -0.03 -0.0
0.09 0.01 -0.04
0.09 0.02 -0.04
0.08 -0.04 -0.0
0.09 0.02 -0.02
0.08 0.00 -0.06
0.09 -0.00 -0.0
0.09 -0.02 -0.0
0.07 -0.03 -0.0
0.07 -0.05 -0.1
0.07 -0.06 -0.1
0.06 -0.02 -0.0
0.07 -0.02 -0.0
0.06 -0.03 -0.0
0.07 -0.03 -0.0
0.08 -0.02 -0.0
0.06 -0.03 -0.0
0.06 -0.04 -0.0
0.07 -0.01 -0.0
0.10 0.01 -0.06
0.10 0.00 -0.08
0.08 -0.01 -0.0
0.07 -0.02 -0.0
0.06 -0.03 -0.0
0.06 -0.01 -0.0
0.07 -0.02 -0.0
0.07 -0.01 -0.0
0.06 -0.02 -0.0
0.05 -0.04 -0.1
0.06 -0.03 -0.0
0.06 -0.03 -0.0
0.05 -0.04 -0.0
0.05 -0.03 -0.1
0.05 -0.07 -0.1
0.04 -0.08 -0.1
0.06 -0.04 -0.1
0.05 -0.01 -0.0
0.04 -0.05 -0.1
0.05 -0.05 -0.1
0.05 -0.04 -0.1
0.06 -0.04 -0.1
0.05 -0.07 -0.1
0.05 -0.08 -0.1
0.05 -0.07 -0.1
0.06 -0.03 -0.0
0.06 -0.02 -0.0
0.06 -0.04 -0.1
0.05 -0.06 -0.1
0.06 -0.04 -0.1
0.06 -0.03 -0.0
0.06 -0.03 -0.0
0.07 -0.02 -0.0
0.07 -0.01 -0.0
0.07 -0.02 -0.0
0.07 -0.02 -0.0
0.07 -0.02 -0.0
0.06 -0.04 -0.1
0.07 -0.05 -0.1
0.06 -0.06 -0.1
0.08 -0.01 -0.0
0.07 -0.04 -0.1
0.07 -0.07 -0.1
0.07 -0.03 -0.0
0.08 0.01 -0.05
0.07 0.01 -0.05
0.07 -0.00 -0.0
0.08 -0.01 -0.0
0.07 -0.04 -0.1
0.06 -0.05 -0.1
0.07 -0.03 -0.0
0.07 -0.02 -0.0
0.08 -0.01 -0.0
0.07 -0.05 -0.1
0.06 -0.07 -0.1
0.07 -0.04 -0.0
0.08 -0.02 -0.0
0.09 -0.02 -0.0
0.10 0.00 -0.06
0.11 0.01 -0.07
0.12 0.02 -0.10
0.13 -0.00 -0.1
0.14 -0.01 -0.1
0.14 -0.01 -0.1
0.18 0.08 -0.08
0.20 0.07 -0.08
0.18 0.07 -0.05
0.16 0.06 -0.04
0.14 0.03 -0.03
0.11 0.00 -0.05
0.08 -0.02 -0.0
0.07 -0.03 -0.0
0.08 -0.03 -0.0
0.06 -0.07 -0.1
0.05 -0.05 -0.0
0.05 -0.05 -0.0
0.05 -0.04 -0.0
0.06 -0.04 -0.0
0.07 -0.03 -0.0
0.07 -0.03 -0.0
0.08 -0.03 -0.0
0.07 -0.05 -0.0
0.06 -0.03 -0.0
0.06 -0.03 -0.0
0.05 -0.02 -0.0
0.06 -0.05 -0.0
0.05 -0.07 -0.1
0.05 -0.07 -0.1
0.05 -0.08 -0.1
0.04 -0.04 -0.0
0.05 -0.05 -0.0
0.05 -0.05 -0.0
0.06 -0.04 -0.0
0.07 -0.03 -0.0
0.05 -0.08 -0.1
0.05 -0.04 -0.0
0.06 0.07 0.04
0.06 0.17 0.15
-0.02 0.27 0.26
-0.14 0.21 0.23
-0.33 0.06 0.14
-0.48 -0.19 -0.
-0.64 -0.49 -0.
-0.72 -0.64 -0.
-0.81 -0.73 -0.
-0.78 -0.76 -0.
-0.67 -0.70 -0.
-0.60 -0.68 -0.
-0.46 -0.62 -0.
-0.32 -0.46 -0.
-0.18 -0.29 -0.
-0.12 -0.22 -0.
-0.04 -0.17 -0.
0.01 -0.14 -0.1
0.04 -0.11 -0.1
0.05 -0.10 -0.1
0.07 -0.07 -0.1
0.09 -0.03 -0.1
0.11 -0.01 -0.0
0.11 -0.02 -0.0
0.09 -0.04 -0.1
0.10 -0.04 -0.1
0.12 0.00 -0.07
0.12 0.00 -0.07
0.13 0.00 -0.08
0.14 0.03 -0.07
0.14 -0.00 -0.0
0.14 -0.02 -0.1
0.14 -0.01 -0.0
0.14 0.03 -0.05
0.14 0.05 -0.03
0.14 0.04 -0.04
0.14 0.04 -0.04
0.15 0.04 -0.03
0.15 0.05 -0.03
0.15 0.02 -0.05
0.14 0.04 -0.04
0.15 0.05 -0.02
0.16 0.06 -0.01
0.17 0.04 -0.03
0.17 0.00 -0.08
0.16 -0.03 -0.1
0.19 0.08 0.00
0.19 0.10 0.01
0.20 0.10 0.01
0.21 0.10 0.01
0.21 0.07 -0.02
0.21 0.08 -0.01
0.23 0.12 0.02
0.24 0.14 0.04
0.24 0.11 0.02
0.25 0.11 0.01
0.27 0.06 -0.03
0.28 0.07 -0.02
0.29 0.14 0.03
0.30 0.16 0.05
0.31 0.18 0.07
0.32 0.19 0.08
0.32 0.14 0.03
0.33 0.17 0.05
0.36 0.22 0.09
0.36 0.21 0.08
0.36 0.22 0.10
0.36 0.21 0.09
0.36 0.21 0.08
0.37 0.20 0.07
0.35 0.19 0.06
0.34 0.18 0.06
0.32 0.17 0.05
0.30 0.15 0.04
0.29 0.17 0.07
0.27 0.16 0.06
0.24 0.13 0.04
0.22 0.11 0.02
0.21 0.09 0.00
0.21 0.08 -0.01
0.19 0.06 -0.02
0.18 0.07 0.00
0.17 0.04 -0.03
0.16 0.04 -0.03
0.16 0.01 -0.05
0.15 -0.01 -0.0
0.15 0.04 -0.00
0.15 0.05 0.01
0.15 0.01 -0.02
0.15 0.02 -0.03
0.15 0.01 -0.03
0.16 0.01 -0.04
0.17 0.02 -0.05
0.14 0.00 -0.04
0.15 0.05 -0.02
0.16 0.06 -0.01
0.16 0.05 -0.03
0.16 0.06 -0.03
0.17 0.05 -0.08
0.17 0.05 -0.10
0.18 0.03 -0.14
0.18 0.01 -0.16
0.18 0.05 -0.08
0.17 0.06 -0.05
0.16 0.06 -0.02
0.15 0.01 -0.05
0.14 0.01 -0.04
0.14 0.03 -0.02
0.14 0.05 0.00
0.14 0.03 -0.02
0.13 -0.01 -0.0
0.12 -0.03 -0.0
0.13 0.03 -0.02
0.13 0.04 -0.02
0.12 0.01 -0.04
0.11 -0.00 -0.0
0.11 -0.01 -0.0
0.10 -0.02 -0.0
0.12 0.00 -0.05
0.12 -0.01 -0.0
0.10 -0.03 -0.0
0.10 0.01 -0.04
0.10 0.05 0.01
0.11 0.16 0.11
0.13 0.30 0.26
-0.08 0.34 0.31
-0.29 0.12 0.17
-0.39 0.02 0.10
-0.56 -0.31 -0.
-0.71 -0.59 -0.
-0.77 -0.70 -0.
-0.74 -0.72 -0.
-0.65 -0.73 -0.
-0.51 -0.61 -0.
-0.36 -0.50 -0.
-0.29 -0.44 -0.
-0.16 -0.36 -0.
-0.06 -0.22 -0.
0.00 -0.16 -0.1
0.04 -0.11 -0.1
0.09 -0.04 -0.0
0.11 -0.01 -0.0
0.12 -0.04 -0.1
0.13 0.00 -0.06
0.13 0.05 -0.01
0.15 0.02 -0.05
0.16 0.01 -0.06
0.16 0.01 -0.07
0.15 0.03 -0.07
0.14 0.05 -0.01
0.15 0.01 -0.05
0.16 0.01 -0.05
0.16 0.05 -0.03
0.16 0.09 0.00
0.18 0.06 -0.02
0.18 0.05 -0.03
0.19 0.05 -0.04
0.17 0.06 -0.03
0.16 0.06 -0.02
0.17 0.06 -0.02
0.18 0.03 -0.06
0.20 0.09 -0.01
0.19 0.08 -0.02
0.20 0.09 -0.01
0.21 0.10 -0.00
0.21 0.08 -0.01
0.22 0.09 -0.02
0.22 0.10 -0.01
0.23 0.09 -0.02
0.24 0.09 -0.02
0.26 0.13 0.02
0.27 0.12 0.00
0.28 0.11 -0.01
0.29 0.16 0.03
0.30 0.16 0.04
0.31 0.15 0.02
0.32 0.17 0.04
0.35 0.21 0.07
0.36 0.20 0.06
0.36 0.20 0.06
0.37 0.22 0.07
0.39 0.24 0.09
0.41 0.25 0.10
0.41 0.21 0.06
0.41 0.23 0.08
0.41 0.30 0.16
0.43 0.29 0.14
0.42 0.29 0.14
0.41 0.29 0.12
0.37 0.24 0.09
0.34 0.19 0.05
0.34 0.15 0.02
0.31 0.19 0.07
0.27 0.17 0.05
0.25 0.14 0.04
0.23 0.12 0.02
0.21 0.07 -0.01
0.18 0.04 -0.03
0.17 0.03 -0.03
0.17 0.03 -0.04
0.16 0.03 -0.03
0.15 0.02 -0.04
0.15 0.01 -0.06
0.15 0.00 -0.06
0.15 -0.00 -0.0
0.14 -0.01 -0.0
0.14 -0.00 -0.0
0.14 -0.02 -0.0
0.13 -0.02 -0.0
0.15 -0.02 -0.0
0.15 -0.01 -0.0
0.15 -0.01 -0.0
0.15 -0.02 -0.0
0.15 -0.05 -0.1
0.14 -0.06 -0.1
0.13 -0.01 -0.0
0.13 0.00 -0.05
0.13 -0.02 -0.0
0.15 -0.06 -0.1
0.13 -0.07 -0.1
0.12 -0.07 -0.1
0.14 -0.01 -0.1
0.15 -0.00 -0.1
0.14 -0.03 -0.1
0.13 -0.04 -0.2
0.13 -0.05 -0.1
0.13 -0.01 -0.1
0.12 -0.02 -0.0
0.11 -0.02 -0.0
0.12 -0.03 -0.0
0.12 -0.03 -0.0
0.12 -0.02 -0.0
0.13 0.02 -0.05
0.13 -0.01 -0.0
0.11 -0.04 -0.0
0.11 -0.04 -0.0
0.14 -0.01 -0.0
0.17 0.01 -0.08
0.14 -0.01 -0.0
0.11 -0.03 -0.0
0.11 -0.03 -0.0
0.11 -0.03 -0.0
0.11 -0.04 -0.1
0.11 -0.04 -0.1
0.10 -0.05 -0.1
0.12 0.09 0.03
0.14 0.22 0.16
0.08 0.29 0.23
-0.12 0.19 0.19
-0.32 0.09 0.14
-0.46 -0.21 -0.
-0.55 -0.37 -0.
-0.69 -0.63 -0.
-0.74 -0.73 -0.
-0.68 -0.74 -0.
-0.63 -0.70 -0.
-0.50 -0.64 -0.
-0.35 -0.52 -0.
-0.21 -0.38 -0.
-0.16 -0.34 -0.
-0.05 -0.23 -0.
0.02 -0.14 -0.1
0.08 -0.06 -0.1
0.10 -0.03 -0.0
0.12 0.00 -0.06
0.14 -0.00 -0.0
0.14 -0.01 -0.0
0.14 -0.00 -0.0
0.14 0.02 -0.05
0.15 0.03 -0.04
0.15 0.00 -0.08
0.14 -0.01 -0.0
0.15 0.00 -0.08
0.15 0.03 -0.04
0.14 0.01 -0.06
0.15 0.01 -0.06
0.16 0.02 -0.06
0.17 0.03 -0.06
0.17 0.02 -0.07
0.17 0.02 -0.07
0.18 0.01 -0.08
0.19 0.06 -0.03
0.19 0.07 -0.03
0.20 0.07 -0.03
0.20 0.06 -0.03
0.21 0.09 -0.04
0.22 0.10 -0.02
0.22 0.09 -0.03
0.20 0.07 -0.02
0.21 0.08 -0.00
0.23 0.11 0.00
0.23 0.11 0.00
0.23 0.10 0.01
0.22 0.09 0.01
0.23 0.08 -0.00
0.23 0.07 -0.01
0.23 0.03 -0.05
0.26 0.04 -0.05
0.28 0.17 0.07
0.30 0.18 0.06
0.34 0.20 0.05
0.34 0.21 0.09
0.35 0.22 0.10
0.36 0.23 0.11
0.37 0.22 0.11
0.37 0.21 0.08
0.36 0.21 0.09
0.37 0.21 0.09
0.37 0.22 0.11
0.38 0.22 0.12
0.39 0.22 0.11
0.36 0.22 0.10
0.34 0.22 0.09
0.32 0.21 0.09
0.28 0.17 0.07
0.26 0.15 0.06
0.22 0.10 0.03
0.20 0.06 0.00
0.18 0.04 -0.02
0.17 0.04 -0.02
0.16 0.06 0.00
0.15 0.03 -0.03
0.12 0.00 -0.03
0.11 0.01 -0.02
0.09 0.01 -0.02
0.09 -0.01 -0.0
0.10 -0.01 -0.0
0.10 -0.01 -0.0
0.10 -0.00 -0.0
0.11 -0.00 -0.0
0.10 -0.02 -0.0
0.11 -0.01 -0.0
0.11 -0.00 -0.0
0.13 -0.01 -0.0
0.13 0.00 -0.04
0.12 0.02 -0.02
0.11 -0.03 -0.0
0.10 -0.08 -0.1
0.11 -0.03 -0.0
0.11 -0.02 -0.0
0.11 0.00 -0.03
0.11 0.01 -0.03
0.10 -0.01 -0.0
0.11 0.00 -0.03
0.11 0.00 -0.03
0.11 -0.03 -0.0
0.11 -0.03 -0.0
0.11 -0.01 -0.0
0.11 0.01 -0.02
0.12 0.02 -0.01
0.08 -0.03 -0.0
0.06 -0.04 -0.0
0.08 -0.01 -0.0
0.08 -0.04 -0.0
0.08 -0.10 -0.1
0.07 -0.08 -0.1
0.06 -0.03 -0.0
0.07 0.00 -0.02
0.08 -0.04 -0.0
0.08 -0.06 -0.1
0.07 -0.06 -0.1
0.06 -0.03 -0.0
0.07 -0.02 -0.0
0.07 -0.03 -0.0
0.07 -0.04 -0.0
0.08 -0.02 -0.0
0.06 -0.06 -0.1
0.06 -0.06 -0.1
0.06 -0.05 -0.0
0.06 -0.05 -0.0
0.06 -0.06 -0.1
0.06 -0.08 -0.1
0.06 -0.10 -0.1
0.06 -0.04 -0.0
0.07 -0.07 -0.1
0.05 -0.07 -0.1
0.06 -0.03 -0.0
0.07 -0.01 -0.0
0.07 -0.03 -0.0
0.07 -0.04 -0.0
0.07 -0.06 -0.1
0.05 -0.08 -0.1
0.05 -0.04 -0.0
0.06 -0.04 -0.0
0.05 -0.06 -0.1
0.05 -0.03 -0.0
0.05 -0.05 -0.1
0.06 -0.04 -0.1
0.07 -0.03 -0.1
0.08 -0.02 -0.0
0.05 -0.08 -0.1
0.05 -0.05 -0.1
0.05 -0.04 -0.0
0.06 -0.04 -0.0
0.06 -0.03 -0.0
0.05 -0.04 -0.0
0.05 -0.08 -0.1
0.05 -0.09 -0.1
0.06 -0.04 -0.0
0.06 -0.04 -0.0
0.06 -0.02 -0.0
0.06 -0.05 -0.1
0.06 -0.06 -0.1
0.06 -0.04 -0.1
0.06 -0.03 -0.0
0.06 -0.04 -0.0
0.05 -0.06 -0.1
0.05 -0.07 -0.1
0.05 -0.09 -0.1
0.07 -0.03 -0.0
0.08 -0.03 -0.1
0.07 -0.03 -0.1
0.07 -0.04 -0.1
0.07 -0.02 -0.0
0.07 -0.05 -0.1
0.06 -0.07 -0.1
0.07 -0.05 -0.1
0.07 -0.03 -0.0
0.08 -0.04 -0.1
0.07 -0.06 -0.1
0.07 -0.08 -0.1
0.07 -0.05 -0.1
0.06 -0.03 -0.0
0.05 -0.03 -0.0
0.06 -0.02 -0.0
0.07 -0.05 -0.1
0.07 -0.05 -0.1
0.07 -0.04 -0.1
0.07 -0.02 -0.0
0.07 -0.01 -0.0
0.08 -0.01 -0.0
0.08 -0.02 -0.0
0.07 -0.04 -0.1
0.07 -0.06 -0.1
0.08 -0.02 -0.0
0.08 -0.03 -0.1
0.07 -0.07 -0.1
0.06 -0.08 -0.1
0.07 -0.02 -0.0
0.08 -0.02 -0.0
0.08 -0.03 -0.0
0.08 -0.03 -0.0
0.08 -0.05 -0.1
0.08 -0.04 -0.0
0.09 -0.02 -0.0
0.10 -0.00 -0.0
0.11 0.00 -0.07
0.11 0.01 -0.08
0.12 0.02 -0.09
0.14 0.02 -0.11
0.15 0.00 -0.14
0.16 0.01 -0.13
0.19 0.02 -0.12
0.20 0.04 -0.10
0.18 0.04 -0.07
0.17 0.03 -0.06
0.14 0.03 -0.03
0.09 -0.02 -0.0
0.09 -0.01 -0.0
0.07 -0.02 -0.0
0.06 -0.03 -0.0
0.07 -0.02 -0.0
0.07 -0.04 -0.0
0.06 -0.05 -0.0
0.08 -0.04 -0.0
0.08 -0.04 -0.0
0.07 -0.03 -0.0
0.08 -0.03 -0.0
0.09 -0.03 -0.0
0.06 -0.05 -0.0
0.09 -0.03 -0.0
0.09 -0.06 -0.1
0.07 -0.06 -0.1
0.07 -0.04 -0.0
0.06 -0.05 -0.0
0.07 -0.04 -0.0
0.07 -0.03 -0.0
0.08 -0.03 -0.0
0.07 -0.04 -0.1
0.07 -0.04 -0.1
0.08 -0.04 -0.1
0.07 -0.04 -0.1
0.06 -0.05 -0.0
0.05 -0.03 -0.0
0.04 0.07 0.04
0.07 0.20 0.17
-0.06 0.25 0.21
-0.15 0.17 0.18
-0.35 0.01 0.08
-0.50 -0.21 -0.
-0.64 -0.51 -0.
-0.70 -0.61 -0.
-0.77 -0.73 -0.
-0.78 -0.78 -0.
-0.65 -0.80 -0.
-0.59 -0.74 -0.
-0.44 -0.59 -0.
-0.28 -0.45 -0.
-0.16 -0.31 -0.
-0.11 -0.26 -0.
-0.02 -0.18 -0.
0.03 -0.11 -0.1
0.06 -0.06 -0.1
0.08 -0.05 -0.1
0.09 -0.03 -0.1
0.11 -0.03 -0.1
0.12 -0.02 -0.1
0.12 -0.01 -0.1
0.12 -0.01 -0.1
0.13 0.00 -0.09
0.13 0.01 -0.08
0.13 -0.02 -0.1
0.12 -0.01 -0.0
0.14 0.02 -0.07
0.14 -0.00 -0.0
0.14 -0.01 -0.1
0.14 -0.01 -0.1
0.15 0.03 -0.07
0.14 0.03 -0.06
0.14 0.02 -0.07
0.15 -0.00 -0.1
0.17 0.02 -0.09
0.18 0.05 -0.06
0.19 0.06 -0.05
0.20 0.07 -0.05
0.18 0.03 -0.07
0.17 0.03 -0.06
0.17 0.03 -0.06
0.17 0.03 -0.06
0.19 0.05 -0.05
0.20 0.06 -0.05
0.20 0.07 -0.04
0.21 0.07 -0.04
0.21 0.07 -0.04
0.23 0.08 -0.03
0.23 0.07 -0.03
0.25 0.10 -0.02
0.27 0.12 -0.01
0.26 0.13 0.00
0.26 0.13 0.01
0.27 0.14 0.02
0.29 0.15 0.03
0.30 0.14 0.02
0.30 0.15 0.03
0.31 0.16 0.03
0.32 0.15 0.02
0.34 0.16 0.03
0.35 0.18 0.05
0.37 0.21 0.07
0.38 0.22 0.07
0.37 0.19 0.05
0.41 0.22 0.05
0.52 0.34 0.07
0.50 0.32 0.08
0.36 0.18 0.08
0.32 0.14 0.07
0.27 0.10 0.05
0.26 0.09 0.05
0.26 0.09 0.04
0.27 0.11 0.04
0.26 0.10 0.02
0.24 0.08 0.01
0.22 0.07 0.01
0.21 0.06 0.01
0.21 0.04 -0.00
0.20 0.02 -0.01
0.19 0.02 -0.02
0.19 0.03 0.00
0.18 -0.01 -0.0
0.18 0.00 -0.01
0.18 0.03 0.01
0.18 0.01 -0.00
0.17 -0.01 -0.0
0.18 0.02 0.01
0.20 0.06 0.03
0.21 0.08 0.04
0.20 0.07 0.04
0.18 0.06 0.05
0.20 0.04 0.03
0.20 0.03 0.01
0.20 0.02 0.00
0.21 0.08 0.03
0.22 0.08 0.03
0.18 0.04 0.02
0.14 -0.01 0.02
0.18 0.07 0.07
0.21 0.08 0.03
0.20 0.07 0.02
0.20 0.06 0.01
0.20 0.05 0.01
0.34 0.18 -0.01
0.42 0.26 -0.02
0.41 0.21 -0.03
0.28 0.09 -0.03
0.14 -0.02 -0.0
0.11 -0.04 -0.0
0.08 -0.05 -0.0
0.27 0.12 -0.02
0.28 0.13 -0.01
0.08 -0.07 -0.0
-0.03 -0.17 -0.
-0.01 -0.15 -0.
0.04 -0.09 -0.0
0.07 -0.07 -0.0
0.09 -0.05 0.00
0.08 -0.08 -0.0
0.10 -0.08 -0.0
0.10 -0.09 -0.0
0.11 -0.06 -0.0
0.10 -0.05 -0.0
0.10 0.00 0.02
0.11 -0.00 0.01
0.11 -0.03 -0.0
0.10 -0.06 -0.0
0.11 -0.03 -0.0
0.12 -0.01 -0.0
0.13 0.00 -0.01
0.11 -0.01 0.00
0.10 -0.03 -0.0
0.09 -0.04 -0.0
0.09 -0.04 -0.0
0.09 -0.05 -0.0
0.08 -0.06 -0.0
0.10 -0.06 -0.0
0.10 -0.06 -0.0
0.09 -0.06 -0.0
0.10 -0.05 -0.0
0.11 -0.05 -0.0
0.12 -0.04 -0.0
0.13 -0.03 -0.0
0.14 -0.02 -0.0
0.14 -0.02 -0.0
0.15 -0.02 -0.0
0.17 -0.01 -0.0
0.20 0.02 -0.08
0.21 0.03 -0.07
0.22 0.04 -0.06
0.17 0.01 -0.05
0.12 -0.02 -0.0
0.10 -0.03 -0.0
0.07 -0.05 -0.0
0.07 -0.06 -0.0
0.07 -0.07 -0.0
0.07 -0.07 -0.0
0.06 -0.07 -0.0
0.07 -0.08 -0.0
0.06 -0.09 -0.0
0.06 -0.10 -0.0
0.07 -0.09 -0.1
0.08 -0.01 -0.0
0.09 -0.04 -0.0
0.08 -0.07 -0.0
0.06 -0.10 -0.1
0.04 -0.11 -0.0
0.08 -0.11 -0.1
0.09 -0.11 -0.1
0.06 0.00 -0.01
0.07 0.03 0.01
0.07 0.00 -0.01
0.07 -0.02 -0.0
0.07 -0.05 -0.0
0.07 -0.05 -0.0
0.06 -0.06 -0.0
0.06 -0.07 -0.0
0.07 -0.05 -0.0
0.07 -0.04 -0.0
0.07 0.00 -0.02
0.08 0.07 0.03
0.09 0.19 0.16
-0.04 0.25 0.22
-0.24 0.12 0.23
-0.35 0.02 0.09
-0.49 -0.24 -0.
-0.66 -0.57 -0.
-0.79 -0.76 -0.
-0.79 -0.78 -0.
-0.76 -0.81 -0.
-0.65 -0.72 -0.
-0.49 -0.61 -0.
-0.41 -0.54 -0.
-0.27 -0.42 -0.
-0.13 -0.29 -0.
-0.06 -0.22 -0.
-0.02 -0.18 -0.
0.04 -0.11 -0.1
0.09 -0.06 -0.1
0.11 -0.03 -0.1
0.12 -0.02 -0.1
0.12 0.00 -0.08
0.14 -0.01 -0.1
0.14 -0.01 -0.1
0.15 0.01 -0.07
0.16 0.04 -0.05
0.16 0.01 -0.07
0.15 0.00 -0.08
0.16 0.03 -0.05
0.17 0.05 -0.04
0.18 0.04 -0.06
0.18 0.06 -0.04
0.18 0.06 -0.04
0.19 0.07 -0.04
0.19 0.07 -0.05
0.19 0.03 -0.07
0.19 0.04 -0.06
0.19 0.10 -0.00
0.20 0.08 -0.02
0.21 0.09 -0.01
0.21 0.09 -0.01
0.21 0.08 -0.03
0.21 0.08 -0.03
0.22 0.10 -0.02
0.23 0.09 -0.02
0.24 0.13 0.01
0.24 0.12 -0.00
0.25 0.12 0.00
0.26 0.12 0.00
0.26 0.12 0.00
0.27 0.14 0.02
0.28 0.15 0.03
0.29 0.16 0.04
0.29 0.18 0.06
0.32 0.18 0.05
0.32 0.18 0.06
0.34 0.19 0.07
0.35 0.21 0.07
0.36 0.20 0.05
0.37 0.21 0.08
0.38 0.21 0.08
0.39 0.25 0.10
0.42 0.27 0.09
0.42 0.28 0.12
0.42 0.31 0.15
0.43 0.34 0.17
0.43 0.29 0.12
0.43 0.27 0.09
0.43 0.27 0.09
0.42 0.28 0.11
0.42 0.28 0.10
0.40 0.25 0.07
0.39 0.25 0.06
0.38 0.25 0.05
0.38 0.26 0.03
0.38 0.24 0.00
0.38 0.23 -0.02
0.35 0.20 -0.06
0.32 0.17 -0.04
0.29 0.16 -0.03
0.29 0.16 -0.02
0.29 0.17 -0.02
0.21 0.08 -0.03
0.18 0.05 -0.02
0.18 0.05 -0.02
0.17 0.04 -0.02
0.15 0.02 -0.01
0.14 0.02 -0.00
0.15 0.03 -0.01
0.17 0.05 -0.02
0.15 0.01 -0.03
0.14 0.00 -0.04
0.14 0.01 -0.03
0.14 0.05 0.01
0.15 0.07 0.03
0.16 0.06 0.01
0.16 0.06 0.02
0.15 0.07 0.02
0.14 0.05 0.01
0.15 0.03 -0.01
0.14 0.01 -0.02
0.14 0.03 -0.00
0.14 0.04 0.00
0.14 0.03 -0.00
0.13 0.02 -0.01
0.12 0.00 -0.01
0.11 -0.02 -0.0
0.13 -0.04 -0.0
0.14 0.06 0.01
0.15 0.13 0.07
0.18 0.25 0.17
0.09 0.31 0.27
-0.03 0.24 0.24
-0.25 0.09 0.15
-0.42 -0.14 -0.
-0.59 -0.43 -0.
-0.68 -0.59 -0.
-0.76 -0.69 -0.
-0.71 -0.70 -0.
-0.60 -0.65 -0.
-0.52 -0.61 -0.
-0.37 -0.50 -0.
-0.22 -0.39 -0.
-0.11 -0.29 -0.
-0.06 -0.24 -0.
0.02 -0.15 -0.1
0.09 -0.05 -0.0
0.12 -0.01 -0.0
